wort;sent;pol;type;multiplier;combined
fehlschlagen;NEG;0.7;verben;-1;-0.7
vermindern;INT;0.5;verben;0;0
aufhören;SHI;0;verben;0;0
beenden;SHI;0;verben;0;0
beliebt;POS;0.7;adj;1;0.7
gewöhnungsbedürftig;NEG;0.5;adj;-1;-0.5
lecker;POS;0.7;adj;1;0.7
miserabel;NEG;0.5;adj;-1;-0.5
säuerlich;NEG;0.5;adj;-1;-0.5
spitze;POS;1;adj;1;1
spritzig;POS;0.5;adj;1;0.5
süffig;POS;0.5;adj;1;0.5
undefinierbar;NEG;0.7;adj;-1;-0.7
wohlriechend;POS;0.7;adj;1;0.7
wohlschmeckend;POS;0.7;adj;1;0.7
würzig;POS;0.5;adj;1;0.5
abflauen;SHI;0;verben;0;0
bewältigen;SHI;0;verben;0;0
nie;SHI;0;neg;0;0
nix;SHI;0;neg;0;0
besonders;INT;2;adj;0;0
Extremist;NEG;1;nomen;-1;-1
Nullpunkt;NEG;0.7;nomen;-1;-0.7
Plagiat;NEG;0.7;nomen;-1;-0.7
fertigbringen;POS;0.7;verben;1;0.7
keinsterweise;SHI;0;neg;0;0
keinerweise;SHI;0;neg;0;0
Ablehnung;NEG;0.7;nomen;-1;-0.7
Scheitern;NEG;1;nomen;-1;-1
scheitern;NEG;1;verben;-1;-1
Schwierigkeit;NEG;0.7;nomen;-1;-0.7
ständig;INT;2;adj;0;0
Selbstanklage;NEG;1;nomen;-1;-1
Selbstwertgefühl;POS;1;nomen;1;1
Unterstützung;POS;1;nomen;1;1
Hilfe;POS;1;nomen;1;1
Fresse;NEG;1;nomen;-1;-1
Bereicherung;POS;0.7;nomen;1;0.7
völlig;INT;2;adj;0;0
Fehler;NEG;0.7;nomen;-1;-0.7
leider;NEG;0.7;adj;-1;-0.7
niemals;SHI;0;adj;0;0
stinklangweilig;NEG;1;adj;-1;-1
streiten;NEG;1;verben;-1;-1
Problem;NEG;1;nomen;-1;-1
ramponieren;NEG;1;verben;-1;-1
